chinese,pinyinUtf8,pinyinNumber,bookKey,grade,gradeTerm,chapter,page,level(1-5)
哪里,nǎ lǐ,na3 li3,沪教一年级第二学期,1,2,0,0,0
哪儿,nǎ ér,na3 er2,沪教一年级第二学期,1,2,0,0,0
哪些,něi xiē,nei3 xie1,沪教一年级第二学期,1,2,0,0,0
枝头,zhī tóu,zhi1 tou2,沪教一年级第二学期,1,2,0,0,0
枝叶,zhī yè,zhi1 ye4,沪教一年级第二学期,1,2,0,0,0
树枝,shù zhī,shu4 zhi1,沪教一年级第二学期,1,2,0,0,0
柳条,liǔ tiáo,liu3 tiao2,沪教一年级第二学期,1,2,0,0,0
柳树,liǔ shù,liu3 shu4,沪教一年级第二学期,1,2,0,0,0
柳暗花明,liǔ àn huā míng,liu3 an4 hua1 ming2,沪教一年级第二学期,1,2,0,0,0
脸红,liǎn hóng,lian3 hong2,沪教一年级第二学期,1,2,0,0,0
脸色,liǎn sè,lian3 se4,沪教一年级第二学期,1,2,0,0,0
笑脸,xiào liǎn,xiao4 lian3,沪教一年级第二学期,1,2,0,0,0
清醒,qīng xǐng,qing1 xing3,沪教一年级第二学期,1,2,0,0,0
提醒,tí xǐng,ti2 xing3,沪教一年级第二学期,1,2,0,0,0
惊醒,jīng xǐng,jing1 xing3,沪教一年级第二学期,1,2,0,0,0
换牙,huàn yá,huan4 ya2,沪教一年级第二学期,1,2,0,0,0
交换,jiāo huàn,jiao1 huan4,沪教一年级第二学期,1,2,0,0,0
变换,biàn huàn,bian4 huan4,沪教一年级第二学期,1,2,0,0,0
新衣,xīn yī,xin1 yi1,沪教一年级第二学期,1,2,0,0,0
新年,xīn nián,xin1 nian2,沪教一年级第二学期,1,2,0,0,0
日新月异,rì xīn yuè yì,ri4 xin1 yue4 yi4,沪教一年级第二学期,1,2,0,0,0
豆子,dòu zi,dou4 zi,沪教一年级第二学期,1,2,0,0,0
豆芽,dòu yá,dou4 ya2,沪教一年级第二学期,1,2,0,0,0
黄豆,huáng dòu,huang2 dou4,沪教一年级第二学期,1,2,0,0,0
流水,liú shuǐ,liu2 shui3,沪教一年级第二学期,1,2,0,0,0
流动,liú dòng,liu2 dong4,沪教一年级第二学期,1,2,0,0,0
落花流水,luò huā liú shuǐ,luo4 hua1 liu2 shui3,沪教一年级第二学期,1,2,0,0,0
潮水,cháo shuǐ,chao2 shui3,沪教一年级第二学期,1,2,0,0,0
